exception_id;po_number;line_item;material_id;supplier_id;supplier_name;plant;po_qty;open_qty;delivery_date;ibd_qty;chr_status;exception_type;priority;priority_score;panel;recommendation;evidence
254;4500016902;50;9050059006;;Intracompany transfer;7813;120;120;2026-04-22;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500016902/50 past due (2026-04-22) � no inbound delivery and no CHR shipment record exists. Escalate to Intracompany transfer immediately.;delivery_date < today AND no IBD AND no CHR match
255;4500016914;10;9050067301;1001040;Hi-P Manufacturing Co., Ltd.;1722;79560;79560;2026-08-09;79560;;HEALTHY_GR_PENDING;Low;8;STATUS_REPORT;Inbound delivery posted for PO 4500016914/10 (79560 units). Proceed with GR posting.;"IBD exists, no CHR; quantity reconciles (or ahead of GR)"
256;4500016927;10;9200004703;1001040;Hi-P Manufacturing Co., Ltd.;1722;85680;85680;2026-08-09;48960;;HEALTHY_GR_PENDING;Low;8;STATUS_REPORT;Inbound delivery posted for PO 4500016927/10 (48960 units). Proceed with GR posting.;"IBD exists, no CHR; quantity reconciles (or ahead of GR)"
257;4500016936;10;9050109501;1001040;Hi-P Manufacturing Co., Ltd.;1722;64512;64512;2026-08-09;64512;;HEALTHY_GR_PENDING;Low;8;STATUS_REPORT;Inbound delivery posted for PO 4500016936/10 (64512 units). Proceed with GR posting.;"IBD exists, no CHR; quantity reconciles (or ahead of GR)"
258;4500016937;10;9050109501;1001040;Hi-P Manufacturing Co., Ltd.;1114;21504;21504;2026-08-09;21504;;HEALTHY_GR_PENDING;Low;8;STATUS_REPORT;Inbound delivery posted for PO 4500016937/10 (21504 units). Proceed with GR posting.;"IBD exists, no CHR; quantity reconciles (or ahead of GR)"
259;4500016975;10;9200003702;1001040;Hi-P Manufacturing Co., Ltd.;1734;54000;54000;2026-07-27;54000;;HEALTHY_GR_PENDING;Low;8;STATUS_REPORT;Inbound delivery posted for PO 4500016975/10 (54000 units). Proceed with GR posting.;"IBD exists, no CHR; quantity reconciles (or ahead of GR)"
260;4500016978;10;6360007701;1000017;B2B Industrial Products LLC;1714;111000;111000;2026-06-23;;In Transit;HEALTHY_IN_TRANSIT;Low;9;STATUS_REPORT;"Shipment for PO 4500016978/10 is in transit ('In Transit'); ASN/IBD expected once delivered.";CHR status=In Transit, no IBD yet
261;4500017035;10;9050076501;;Intracompany transfer;1711;144;144;2026-05-04;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500017035/10 past due (2026-05-04) � no inbound delivery and no CHR shipment record exists. Escalate to Intracompany transfer immediately.;delivery_date < today AND no IBD AND no CHR match
262;4500017039;10;9050083202;1010837;SV Labs Inc.;1786;25800;25800;2026-05-10;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500017039/10 past due (2026-05-10) � no inbound delivery and no CHR shipment record exists. Escalate to SV Labs Inc. immediately.;delivery_date < today AND no IBD AND no CHR match
263;4500017060;10;9050110701;1009986;Apex International Mfg., LLC;7101;4536;4536;2026-06-02;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500017060/10 past due (2026-06-02) � no inbound delivery and no CHR shipment record exists. Escalate to Apex International Mfg., LLC immediately.;delivery_date < today AND no IBD AND no CHR match
264;4500017095;10;6350076001;1013881;Belmark Inc;7816;7000;7000;2026-05-26;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500017095/10 past due (2026-05-26) � no inbound delivery and no CHR shipment record exists. Escalate to Belmark Inc immediately.;delivery_date < today AND no IBD AND no CHR match
265;4500017111;10;9050082501;;Intracompany transfer;7101;10512;2592;2026-05-06;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500017111/10 past due (2026-05-06) � no inbound delivery and no CHR shipment record exists. Escalate to Intracompany transfer immediately.;delivery_date < today AND no IBD AND no CHR match
266;4500017159;10;9050139426;;Intracompany transfer;7803;804;804;2026-04-30;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500017159/10 past due (2026-04-30) � no inbound delivery and no CHR shipment record exists. Escalate to Intracompany transfer immediately.;delivery_date < today AND no IBD AND no CHR match
267;4500017160;10;9050119627;;Intracompany transfer;7803;6660;6660;2026-04-30;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500017160/10 past due (2026-04-30) � no inbound delivery and no CHR shipment record exists. Escalate to Intracompany transfer immediately.;delivery_date < today AND no IBD AND no CHR match
268;4500017161;10;9200001805;1000026;Feintechnik GmbH Eisfeld;9999;20000;20000;2026-06-10;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500017161/10 past due (2026-06-10) � no inbound delivery and no CHR shipment record exists. Escalate to Feintechnik GmbH Eisfeld immediately.;delivery_date < today AND no IBD AND no CHR match
269;4500017161;20;9200001801;1000026;Feintechnik GmbH Eisfeld;9999;240000;240000;2026-06-10;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500017161/20 past due (2026-06-10) � no inbound delivery and no CHR shipment record exists. Escalate to Feintechnik GmbH Eisfeld immediately.;delivery_date < today AND no IBD AND no CHR match
270;4500017161;30;9200001802;1000026;Feintechnik GmbH Eisfeld;9999;230000;230000;2026-06-10;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500017161/30 past due (2026-06-10) � no inbound delivery and no CHR shipment record exists. Escalate to Feintechnik GmbH Eisfeld immediately.;delivery_date < today AND no IBD AND no CHR match
271;4500017161;40;9200001804;1000026;Feintechnik GmbH Eisfeld;9999;980000;980000;2026-06-10;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500017161/40 past due (2026-06-10) � no inbound delivery and no CHR shipment record exists. Escalate to Feintechnik GmbH Eisfeld immediately.;delivery_date < today AND no IBD AND no CHR match
272;4500017161;50;9200000502;1000026;Feintechnik GmbH Eisfeld;9999;291840;291840;2026-06-10;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500017161/50 past due (2026-06-10) � no inbound delivery and no CHR shipment record exists. Escalate to Feintechnik GmbH Eisfeld immediately.;delivery_date < today AND no IBD AND no CHR match
273;4500017163;10;6360057301;1000337;Masterpiece Printers, Inc.;9999;250000;250000;2026-05-25;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500017163/10 past due (2026-05-25) � no inbound delivery and no CHR shipment record exists. Escalate to Masterpiece Printers, Inc. immediately.;delivery_date < today AND no IBD AND no CHR match
274;4500017167;10;9050124104;;Intracompany transfer;7803;6660;6660;2026-05-07;6660;;HEALTHY_GR_PENDING;Low;8;STATUS_REPORT;Inbound delivery posted for PO 4500017167/10 (6660 units). Proceed with GR posting.;"IBD exists, no CHR; quantity reconciles (or ahead of GR)"
275;4500017169;10;9050056206;1009986;Apex International Mfg., LLC;1786;8500;8500;2026-06-15;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500017169/10 past due (2026-06-15) � no inbound delivery and no CHR shipment record exists. Escalate to Apex International Mfg., LLC immediately.;delivery_date < today AND no IBD AND no CHR match
276;4500017169;20;9050056206;1009986;Apex International Mfg., LLC;1787;9000;9000;2026-06-15;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500017169/20 past due (2026-06-15) � no inbound delivery and no CHR shipment record exists. Escalate to Apex International Mfg., LLC immediately.;delivery_date < today AND no IBD AND no CHR match
277;4500017179;10;9150217701;1001912;WestRock;1734;62208;62208;2026-05-11;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500017179/10 past due (2026-05-11) � no inbound delivery and no CHR shipment record exists. Escalate to WestRock immediately.;delivery_date < today AND no IBD AND no CHR match
278;4500017187;50;9050103301;;Intracompany transfer;1714;7776;59;2026-05-20;;Delivered;ASN_ERROR_PENDING;Medium;6;ACTION_REQUIRED;CHR shows PO 4500017187 physically Delivered, but no inbound delivery / 856-ASN has posted in SAP for line 50. Follow up with Intracompany transfer / EDI team on ASN status.;CHR status=Delivered, no matching IBD record (ASN/EDI not yet posted)
279;4500017198;30;9050131503;1010516;PLZ Corp.;7803;40000;40000;2026-06-01;2220;;HEALTHY_GR_PENDING;Low;8;STATUS_REPORT;Inbound delivery posted for PO 4500017198/30 (2220 units). Proceed with GR posting.;"IBD exists, no CHR; quantity reconciles (or ahead of GR)"
280;4500017198;40;9050131023;1010516;PLZ Corp.;7803;60000;60;2026-06-01;59940;;HEALTHY_GR_PENDING;Low;8;STATUS_REPORT;Inbound delivery posted for PO 4500017198/40 (59940 units). Proceed with GR posting.;"IBD exists, no CHR; quantity reconciles (or ahead of GR)"
281;4500017214;10;6360044401;1000851;Uline- Chicago;1714;19800;19800;2026-05-15;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500017214/10 past due (2026-05-15) � no inbound delivery and no CHR shipment record exists. Escalate to Uline- Chicago immediately.;delivery_date < today AND no IBD AND no CHR match
282;4500017250;10;9050059005;;Intracompany transfer;7803;4196;4196;2026-05-15;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500017250/10 past due (2026-05-15) � no inbound delivery and no CHR shipment record exists. Escalate to Intracompany transfer immediately.;delivery_date < today AND no IBD AND no CHR match
283;4500017259;10;MANDO134692;1010320;Premier Packaging LLC;1786;4500;4500;2026-06-09;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500017259/10 past due (2026-06-09) � no inbound delivery and no CHR shipment record exists. Escalate to Premier Packaging LLC immediately.;delivery_date < today AND no IBD AND no CHR match
284;4500017261;130;6350002710;1011162;Viva Distribution (Canada) Ltd.;9997;86940;86940;2026-07-13;66240;;HEALTHY_GR_PENDING;Low;8;STATUS_REPORT;Inbound delivery posted for PO 4500017261/130 (66240 units). Proceed with GR posting.;"IBD exists, no CHR; quantity reconciles (or ahead of GR)"
285;4500017262;10;6350037526;1013082;Precision Concepts Canada Corporati;9997;50000;50000;2026-07-13;53350;;HEALTHY_GR_PENDING;Low;8;STATUS_REPORT;Inbound delivery posted for PO 4500017262/10 (53350 units). Proceed with GR posting.;"IBD exists, no CHR; quantity reconciles (or ahead of GR)"
286;4500017262;20;6350042827;1013082;Precision Concepts Canada Corporati;9997;50000;50000;2026-07-13;53350;;HEALTHY_GR_PENDING;Low;8;STATUS_REPORT;Inbound delivery posted for PO 4500017262/20 (53350 units). Proceed with GR posting.;"IBD exists, no CHR; quantity reconciles (or ahead of GR)"
287;4500017263;10;MSPK2036;1012778;DS Smith Packaging Limited;1114;9000;9000;2026-06-11;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500017263/10 past due (2026-06-11) � no inbound delivery and no CHR shipment record exists. Escalate to DS Smith Packaging Limited immediately.;delivery_date < today AND no IBD AND no CHR match
288;4500017264;10;6360052201;1002120;Smurfit European Packaging Ltd;1114;15000;15000;2026-06-15;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500017264/10 past due (2026-06-15) � no inbound delivery and no CHR shipment record exists. Escalate to Smurfit European Packaging Ltd immediately.;delivery_date < today AND no IBD AND no CHR match
289;4500017264;20;MSPK2113;1002120;Smurfit European Packaging Ltd;1114;10000;10000;2026-06-15;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500017264/20 past due (2026-06-15) � no inbound delivery and no CHR shipment record exists. Escalate to Smurfit European Packaging Ltd immediately.;delivery_date < today AND no IBD AND no CHR match
290;4500017332;10;9050099804;1012603;NPI Medical, Inc;1712;2880;2880;2026-06-30;2880;Delivered;HEALTHY_GR_PENDING;Low;8;STATUS_REPORT;PO 4500017332/10 delivered per carrier and IBD posted (2880 units). Proceed with GR posting.;"IBD+CHR exist; CHR status=Delivered; quantity reconciles"
291;4500017351;10;9050068701;1012389;RJW Logistics, LLC;7101;18000;18000;2026-06-05;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500017351/10 past due (2026-06-05) � no inbound delivery and no CHR shipment record exists. Escalate to RJW Logistics, LLC immediately.;delivery_date < today AND no IBD AND no CHR match
292;4500017352;10;9050068701;1012389;RJW Logistics, LLC;7101;18000;18000;2026-06-05;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500017352/10 past due (2026-06-05) � no inbound delivery and no CHR shipment record exists. Escalate to RJW Logistics, LLC immediately.;delivery_date < today AND no IBD AND no CHR match
293;4500017353;10;9050068701;1012389;RJW Logistics, LLC;7101;18000;18000;2026-06-05;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500017353/10 past due (2026-06-05) � no inbound delivery and no CHR shipment record exists. Escalate to RJW Logistics, LLC immediately.;delivery_date < today AND no IBD AND no CHR match
294;4500017354;10;9050068701;1012389;RJW Logistics, LLC;7101;18000;18000;2026-06-05;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500017354/10 past due (2026-06-05) � no inbound delivery and no CHR shipment record exists. Escalate to RJW Logistics, LLC immediately.;delivery_date < today AND no IBD AND no CHR match
295;4500017355;10;9050068701;1012389;RJW Logistics, LLC;7101;18000;18000;2026-06-05;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500017355/10 past due (2026-06-05) � no inbound delivery and no CHR shipment record exists. Escalate to RJW Logistics, LLC immediately.;delivery_date < today AND no IBD AND no CHR match
296;4500017356;10;9050068701;1012389;RJW Logistics, LLC;7101;18000;18000;2026-06-05;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500017356/10 past due (2026-06-05) � no inbound delivery and no CHR shipment record exists. Escalate to RJW Logistics, LLC immediately.;delivery_date < today AND no IBD AND no CHR match
297;4500017399;10;6360050001;1010320;Premier Packaging LLC;1787;1566000;1566000;2026-05-28;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500017399/10 past due (2026-05-28) � no inbound delivery and no CHR shipment record exists. Escalate to Premier Packaging LLC immediately.;delivery_date < today AND no IBD AND no CHR match
298;4500017463;10;9050057001;1009986;Apex International Mfg., LLC;1787;30000;30000;2026-06-16;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500017463/10 past due (2026-06-16) � no inbound delivery and no CHR shipment record exists. Escalate to Apex International Mfg., LLC immediately.;delivery_date < today AND no IBD AND no CHR match
299;4500017469;30;9050068801;;Intracompany transfer;7101;57600;57600;2026-06-05;57600;Delivered;HEALTHY_GR_PENDING;Low;8;STATUS_REPORT;PO 4500017469/30 delivered per carrier and IBD posted (57600 units). Proceed with GR posting.;"IBD+CHR exist; CHR status=Delivered; quantity reconciles"
300;4500017469;40;9050088704;;Intracompany transfer;7101;9768;9768;2026-06-05;9768;Delivered;HEALTHY_GR_PENDING;Low;8;STATUS_REPORT;PO 4500017469/40 delivered per carrier and IBD posted (9768 units). Proceed with GR posting.;"IBD+CHR exist; CHR status=Delivered; quantity reconciles"
301;4500017474;10;9050110801;1012389;RJW Logistics, LLC;7101;5040;5040;2026-06-10;5040;;HEALTHY_GR_PENDING;Low;8;STATUS_REPORT;Inbound delivery posted for PO 4500017474/10 (5040 units). Proceed with GR posting.;"IBD exists, no CHR; quantity reconciles (or ahead of GR)"
302;4500017476;10;9050110801;1012389;RJW Logistics, LLC;7101;5040;5040;2026-06-11;5040;;HEALTHY_GR_PENDING;Low;8;STATUS_REPORT;Inbound delivery posted for PO 4500017476/10 (5040 units). Proceed with GR posting.;"IBD exists, no CHR; quantity reconciles (or ahead of GR)"
303;4500017478;10;9050110801;1012389;RJW Logistics, LLC;7101;5040;5040;2026-06-12;5040;;HEALTHY_GR_PENDING;Low;8;STATUS_REPORT;Inbound delivery posted for PO 4500017478/10 (5040 units). Proceed with GR posting.;"IBD exists, no CHR; quantity reconciles (or ahead of GR)"
304;4500017479;10;9050110801;1012389;RJW Logistics, LLC;7101;5040;5040;2026-06-12;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500017479/10 past due (2026-06-12) � no inbound delivery and no CHR shipment record exists. Escalate to RJW Logistics, LLC immediately.;delivery_date < today AND no IBD AND no CHR match
305;4500017503;10;6360045301;1010320;Premier Packaging LLC;1786;23400;23400;2026-06-01;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500017503/10 past due (2026-06-01) � no inbound delivery and no CHR shipment record exists. Escalate to Premier Packaging LLC immediately.;delivery_date < today AND no IBD AND no CHR match
306;4500017504;10;1JL;1010320;Premier Packaging LLC;1786;9900;9900;2026-06-01;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500017504/10 past due (2026-06-01) � no inbound delivery and no CHR shipment record exists. Escalate to Premier Packaging LLC immediately.;delivery_date < today AND no IBD AND no CHR match
307;4500017504;20;6360038901;1010320;Premier Packaging LLC;1786;10800;10800;2026-06-01;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500017504/20 past due (2026-06-01) � no inbound delivery and no CHR shipment record exists. Escalate to Premier Packaging LLC immediately.;delivery_date < today AND no IBD AND no CHR match
308;4500017515;10;9050125401;1012389;RJW Logistics, LLC;7101;18000;18000;2026-06-12;18000;;HEALTHY_GR_PENDING;Low;8;STATUS_REPORT;Inbound delivery posted for PO 4500017515/10 (18000 units). Proceed with GR posting.;"IBD exists, no CHR; quantity reconciles (or ahead of GR)"
309;4500017534;10;6360043301;1000851;Uline- Chicago;1711;1000;1000;2026-06-04;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500017534/10 past due (2026-06-04) � no inbound delivery and no CHR shipment record exists. Escalate to Uline- Chicago immediately.;delivery_date < today AND no IBD AND no CHR match
310;4500017551;10;9050104601;1010516;PLZ Corp.;1711;26880;26880;2026-06-12;26880;In Transit;OVERDUE_IN_TRANSIT;High;4;ACTION_REQUIRED;"PO 4500017551/10 is past due (2026-06-12); inbound delivery posted but carrier still shows 'In Transit'. Expedite with carrier T2295160.";"IBD+CHR exist; CHR status=In Transit; overdue"
